Thread Count,Throughput (ops/s),Avg Latency (ns/op),Avg Read Latency (ns/op),Avg Write Latency (ns/op)
1,370047.691476,2702.354380,2574.927720,2829.669144
3,965522.410136,3107.126224,2900.491702,3313.680189
6,2199141.359944,2728.337573,2478.404327,2978.226789
9,3243041.019870,2775.173038,2504.591025,3045.900565
12,4128605.467288,2906.550431,2636.210089,3176.805345
18,6312826.961503,2851.337461,2554.945655,3147.864986
24,8470673.212796,2833.304909,2524.717814,3141.897965
35,11757814.117100,2976.743777,2591.367686,3362.116413
48,2864380.055595,16757.552793,14573.082275,18942.425213
60,2022468.679709,29666.714052,26798.471693,32535.084089
