Thread Count,Throughput (ops/s),Avg Latency (ns/op),Avg Read Latency (ns/op),Avg Write Latency (ns/op)
60,28850593.245972,2079.679939,2025.140284,3115.821888
1,405767.434615,2464.465885,2445.753012,2819.505924
3,1189247.725493,2522.603101,2480.160730,3330.719048
6,2846096.322612,2108.150716,2062.406943,2977.995012
9,4330129.373316,2078.459839,2029.517013,3008.123483
12,5511669.592032,2177.198723,2127.458433,3123.012815
18,8361147.520959,2152.814545,2101.996187,3117.833248
24,11539856.291998,2079.748603,2027.436932,3073.423534
35,16852004.905333,2076.904214,2023.898114,3083.784538
48,22758607.529688,2109.092129,2055.735137,3122.807389
60,28201356.969385,2127.557198,2073.723713,3150.650353
