Thread Count,Throughput (ops/s),Avg Latency (ns/op),Avg Read Latency (ns/op),Avg Write Latency (ns/op)
60,31434526.795727,1908.729226,1908.729226,0.000000
1,402705.534468,2483.204015,2483.204015,0.000000
3,1403792.659992,2137.067735,2137.067735,0.000000
6,3008980.527180,1994.030851,1994.030851,0.000000
9,4315098.097260,2085.699976,2085.699976,0.000000
12,5954056.759837,2015.432584,2015.432584,0.000000
18,9512678.925856,1892.211452,1892.211452,0.000000
24,12353595.237775,1942.754278,1942.754278,0.000000
35,18045604.571196,1939.530475,1939.530475,0.000000
48,24947202.713364,1924.063413,1924.063413,0.000000
60,31655833.974496,1895.385225,1895.385225,0.000000
