Thread Count,Throughput (ops/s),Avg Latency (ns/op),Avg Read Latency (ns/op),Avg Write Latency (ns/op)
60,20331989.560419,2951.014696,2951.014696,0.000000
60,21114756.032778,2841.614646,2841.614646,0.000000
60,1775565.065278,33792.059313,1677.140412,65913.207046
60,2175885.594835,27574.979191,1538.606416,53609.777451
60,1673257.244303,35858.204233,1413.244641,70301.653686
60,797459.986124,75238.884764,6615.433215,143911.715304
60,784270.896684,76504.177643,6553.518998,146366.717439
60,858446.114907,69893.728864,6281.362219,133550.717086
60,711073.622345,84379.448364,7061.313743,161713.711187
30,993533.192653,30195.266974,5766.116587,54618.126271
10,1034099.777338,9670.246739,5120.390976,14228.247012
60,4971645.854560,12068.438050,1315.114869,22819.562566
10,913388.356990,10948.245534,5755.286735,16139.569112
10,900434.288882,11105.752106,5878.357306,16336.410611
10,1006096.543725,9939.403989,5221.640647,14658.024937
10,1010247.580168,9898.563675,5142.010178,14650.028425
60,20496048.771333,2927.393502,968.519923,4886.217233
60,5079776.706134,11811.542804,1254.917722,22372.293570
60,772009.534045,77719.247437,6253.258389,149158.842674
60,9502024.218880,6314.444019,2223.245675,10405.303432
60,5177310.330215,11589.029085,1317.276881,21859.464482
60,21827693.322687,2748.801677,965.984704,4531.053205
60,4679232.493903,12822.615691,3632.970609,22012.892913
60,4546661.645923,13196.495511,3664.357120,22730.291913
60,6828373.193975,8786.865963,7981.832074,9592.333667
60,28451721.419578,2108.835494,1793.242808,2424.352165
60,4728269.618490,12689.631692,3236.123303,22142.537602
60,27036769.204462,2219.200066,1767.743138,2670.570495
60,4861638.805579,12341.517418,3563.672243,21118.137795
60,27091796.124296,2214.692585,1718.852521,2710.466510
60,4236483.048704,14162.690918,2843.224876,25480.412877
60,8174885.708157,7339.552153,6918.967882,7760.071565
60,26718249.720947,2245.656083,1781.733422,2709.614537
60,4458531.052751,13457.347115,2524.398552,24389.104803
60,8055429.844687,7448.392098,7031.669271,7865.187450
