Thread Count,Throughput (ops/s),Avg Latency (ns/op),Avg Read Latency (ns/op),Avg Write Latency (ns/op)
1,150691.262863,6636.084807,6636.084807,0.000000
60,95143.151759,630628.677844,630628.677844,0.000000
60,393848.205977,152342.956219,152342.956219,0.000000
60,516754.208459,116109.359184,116109.359184,0.000000
60,19723212.329017,3042.100800,3042.100800,0.000000
90,18969182.802677,4744.537545,4744.537545,0.000000
90,21539746.456342,4178.322163,4178.322163,0.000000
60,15308798.774606,3919.314695,3919.314695,0.000000
60,19154884.161348,3132.360368,3132.360368,0.000000
30,17724275.413612,1692.593875,1692.593875,0.000000
1,1599210.146354,625.308689,625.308689,0.000000
60,18700024.336511,3208.551974,3208.551974,0.000000
30,22695533.935413,1321.845967,1321.845967,0.000000
60,20600745.697606,2912.515929,2912.515929,0.000000
60,19598678.490308,3061.430904,3061.430904,0.000000
10,2535531.032378,3943.946997,3943.946997,0.000000
10,15752258.585991,634.829599,634.829599,0.000000
20,31384055.075687,637.266279,637.266279,0.000000
60,78870236.503172,760.743249,760.743249,0.000000
60,131993320.373149,454.568457,454.568457,0.000000
10,2517005.473519,3972.975071,3972.975071,0.000000
10,2531193.016651,3950.706222,3950.706222,0.000000
60,89618596.358180,669.503903,669.503903,0.000000
60,133882189.390647,448.155205,448.155205,0.000000
60,79732007.267243,752.520877,752.520877,0.000000
60,133075181.298201,450.872953,450.872953,0.000000
60,87645052.569807,684.579429,684.579429,0.000000
60,15611254.325504,3843.381111,3843.381111,0.000000
