Thread Count,Throughput (ops/s),Avg Latency (ns/op),Avg Read Latency (ns/op),Avg Write Latency (ns/op)
1,461648.964691,1725.875146,3197.871111,254.816645
3,758715.488022,3368.652828,5382.460672,1354.220810
6,1049514.137173,5033.619501,5423.067981,4644.105294
9,946907.181558,8672.419646,5743.988747,11602.190700
12,967568.944609,11462.304314,5738.300967,17187.950598
18,1076979.841205,15570.684019,4536.089079,26611.144648
24,1025885.532888,21986.240158,5798.688448,38164.769673
35,1044591.232466,31683.151490,5668.339656,57707.242931
48,1026665.079977,44426.641596,5752.879698,83111.267300
60,1068358.752425,53464.085461,5687.683373,101242.850173
