Thread Count,Throughput (ops/s),Avg Latency (ns/op),Avg Read Latency (ns/op),Avg Write Latency (ns/op)
1,188654.738337,4743.124704,4978.672764,309.459151
3,357838.947054,7652.816785,8015.877364,766.738840
6,658375.785793,8338.875366,8730.541171,895.267495
9,910856.834443,9070.611688,9486.128112,1184.963376
12,1197829.541127,9204.378121,9619.384985,1331.209809
18,1613097.931817,10274.204129,10740.729356,1413.211284
24,2242338.574401,9819.517750,10200.257316,2580.391151
35,2592361.192889,12550.894288,13012.519798,3790.452572
48,2905679.712075,15405.001394,15923.771772,5560.375820
60,3245159.830494,17300.707189,17922.558700,5497.006615
