Thread Count,Throughput (ops/s),Avg Latency (ns/op),Avg Read Latency (ns/op),Avg Write Latency (ns/op)
1,89326.547854,10409.496289,10409.496289,0.000000
3,124497.511410,22738.605990,22738.605990,0.000000
6,197521.630788,28787.883346,28787.883346,0.000000
9,242550.285049,35255.942662,35255.942662,0.000000
12,305385.838486,37360.121049,37360.121049,0.000000
18,500183.086411,34141.657827,34141.657827,0.000000
24,555229.471539,40990.051014,40990.051014,0.000000
35,690447.956041,48166.115684,48166.115684,0.000000
48,828123.110309,55129.172998,55129.172998,0.000000
60,928368.270167,61457.436015,61457.436015,0.000000
