Thread Count,Throughput (ops/s),Avg Latency (ns/op),Avg Read Latency (ns/op),Avg Write Latency (ns/op)
1,471922.699269,2118.991101,3040.724472,1197.099315
3,506649.221042,5921.256513,8392.219219,3452.383049
6,747150.489187,8030.510703,11722.531712,4339.046945
9,848100.355536,10611.951689,15790.754944,5432.336904
12,873263.715532,13741.553424,20624.784097,6861.655103
18,862271.415504,20875.097651,31664.809191,10083.196671
24,932160.627716,25746.635597,38911.566253,12578.978696
35,923945.359243,37881.027974,57450.204854,18319.092014
48,958690.898103,50068.275494,75663.506599,24482.940437
60,914260.315945,65626.823076,99603.115294,31647.341540
