Thread Count,Throughput (ops/s),Avg Latency (ns/op),Avg Read Latency (ns/op),Avg Write Latency (ns/op)
1,325872.400301,3068.685777,3149.373913,1534.636880
3,358986.400939,8356.862522,8575.085509,4201.023873
6,503109.640745,11925.829907,12297.570219,4885.501590
9,551825.292771,16309.509763,16836.090072,6306.418112
12,577605.540930,20775.423970,21478.198464,7456.764539
18,603924.229189,29805.063500,30823.276458,10484.372018
24,598357.993710,40109.767484,41486.346886,13941.304507
35,619620.174181,56486.217619,58428.402188,19576.399793
48,593092.644263,80931.706816,83709.951431,28056.082119
60,617218.306192,97210.337733,100543.563737,33645.762563
