Thread Count,Throughput (ops/s),Avg Latency (ns/op),Avg Read Latency (ns/op),Avg Write Latency (ns/op)
1,338651.610756,2952.887180,2952.887180,0.000000
3,347021.615948,8644.994612,8644.994612,0.000000
6,468319.558062,12811.764738,12811.764738,0.000000
9,533090.811459,16882.677035,16882.677035,0.000000
12,549944.982553,21820.364547,21820.364547,0.000000
18,592546.351631,30377.370395,30377.370395,0.000000
24,572738.625458,41903.931275,41903.931275,0.000000
35,546048.391863,64096.883209,64096.883209,0.000000
48,564972.919888,84959.824286,84959.824286,0.000000
60,572690.977694,104768.544183,104768.544183,0.000000
