Thread Count,Throughput (ops/s),Avg Latency (ns/op),Avg Read Latency (ns/op),Avg Write Latency (ns/op)
1,1455234.516532,687.174465,295.840829,1078.431563
3,4802486.459710,624.676410,315.109486,934.286726
6,13500803.517475,444.417993,273.167579,615.694575
9,18590950.286307,484.106507,285.006426,683.262144
12,26776528.677696,448.153685,273.896156,622.444341
18,39426361.077919,456.547333,275.484838,637.609430
24,51335393.366452,467.513706,279.507491,655.527668
35,73076844.879475,478.947881,283.518475,674.394135
48,80916750.746372,593.202267,339.153501,847.253046
60,39880256.403441,1504.503868,773.691377,2235.137259
