Thread Count,Throughput (ops/s),Avg Latency (ns/op),Avg Read Latency (ns/op),Avg Write Latency (ns/op)
1,3264184.761839,306.355207,231.942168,1716.156010
3,11517316.402479,260.477345,206.692947,1282.551787
6,26621658.195230,225.380401,192.273027,854.849436
9,42256127.027263,212.986864,185.645899,732.663478
12,52837090.603944,227.113186,191.410730,905.232472
18,84263327.765509,213.616059,184.342457,769.869911
24,112427996.417216,213.469961,185.197139,750.598921
35,162837124.423767,214.938701,185.985650,765.018471
48,220956214.463217,217.237610,187.432310,783.556716
60,277294339.459080,216.376577,187.071892,773.125125
