Thread Count,Throughput (ops/s),Avg Latency (ns/op),Avg Read Latency (ns/op),Avg Write Latency (ns/op)
1,4728414.875782,211.487364,211.487364,0.000000
3,16922863.624474,177.274962,177.274962,0.000000
6,36496569.763479,164.399012,164.399012,0.000000
9,56632565.644879,158.919164,158.919164,0.000000
12,75524285.938937,158.889288,158.889288,0.000000
18,114409894.185644,157.329050,157.329050,0.000000
24,152713073.938069,157.157468,157.157468,0.000000
35,223117925.442237,156.867719,156.867719,0.000000
48,306399218.986715,156.658363,156.658363,0.000000
60,384537948.085140,156.031415,156.031415,0.000000
