Thread Count,Throughput (ops/s),Avg Latency (ns),Avg Read Lat (ns),Avg Write Lat (ns)
1,1030019.065708,970.855815,975.515394,966.195223
3,2393375.612245,1253.459751,1208.700535,1298.234124
6,4713038.525711,1273.064068,1215.479050,1330.663981
9,7054497.504900,1275.781867,1212.541026,1339.050467
12,9362127.350032,1281.759962,1212.800962,1350.731976
18,13801912.744737,1304.167062,1225.383833,1382.969637
24,18009398.867123,1332.637484,1255.266443,1410.035769
35,25494205.700089,1372.860971,1292.364631,1453.378520
48,34155387.332420,1405.341990,1321.346822,1489.356190
60,42796125.718900,1401.996068,1312.913279,1491.102746
