Thread Count,Throughput (ops/s),Avg Latency (ns),Avg Read Lat (ns),Avg Write Lat (ns)
1,1020004.772523,980.387570,978.738797,1011.698859
3,2553725.767087,1174.754172,1162.141902,1414.222073
6,4905034.408475,1223.233009,1206.110831,1548.232290
9,7986190.584350,1126.945307,1113.607220,1380.157284
12,10747630.103416,1116.525214,1103.795086,1358.192408
18,15693805.076159,1146.949380,1132.615574,1419.085817
24,20622856.989443,1163.757282,1148.340692,1456.410172
35,30771125.965580,1137.429941,1123.021757,1410.961568
48,41135106.729554,1166.886483,1151.491728,1459.149745
60,51676596.195088,1161.067184,1145.784313,1451.125509
