Thread Count,Throughput (ops/s),Avg Latency (ns),Avg Read Lat (ns),Avg Write Lat (ns)
1,1066205.922157,937.905126,937.905126,0.000000
3,2563177.430182,1170.422291,1170.422291,0.000000
6,5212484.422487,1151.082577,1151.082577,0.000000
9,8245412.254632,1091.516072,1091.516072,0.000000
12,10960101.659002,1094.880355,1094.880355,0.000000
18,16380847.170079,1098.844267,1098.844267,0.000000
24,21712463.788407,1105.355902,1105.355902,0.000000
35,31339831.601329,1116.789664,1116.789664,0.000000
48,42990502.152315,1116.525688,1116.525688,0.000000
60,53288737.151853,1125.941488,1125.941488,0.000000
