Thread Count,Throughput (ops/s),Avg Latency (ns/op),Avg Read Latency (ns/op),Avg Write Latency (ns/op)
1,214044.105973,4671.934298,4425.746968,4918.112372
3,514063.944834,5835.849859,5542.437043,6129.789177
6,1034195.441279,5801.611340,5512.399927,6091.091730
9,1491408.681706,6034.563236,5742.162666,6326.951018
12,1818815.471421,6597.700640,6302.315006,6892.769200
18,2274912.814350,7912.391142,7617.794447,8207.079883
24,2354347.225250,10193.908419,9903.151508,10484.592865
35,2252857.014869,15535.828403,15236.232154,15835.507509
48,2622905.972648,18300.312897,18001.187232,18599.500309
60,2714096.511926,22106.804138,21813.421088,22400.166552
