Thread Count,Throughput (ops/s),Avg Latency (ns/op),Avg Read Latency (ns/op),Avg Write Latency (ns/op)
1,227616.862133,4393.347622,4360.110239,5023.398668
3,537701.754981,5579.301113,5542.256431,6285.623993
6,1075899.267677,5576.730257,5542.285146,6230.654584
9,1511244.788100,5955.355526,5926.536618,6502.265352
12,1826741.352151,6569.074481,6538.258969,7156.055027
18,2330135.365301,7724.873099,7691.531555,8358.923033
24,2487675.661196,9647.559919,9614.170485,10282.182127
35,2665063.571348,13132.894981,13098.661426,13782.963693
48,2637099.454084,18201.816365,18172.128896,18765.820792
60,2884477.012958,20800.997800,20766.948896,21448.078901
