Thread Count,Throughput (ops/s),Avg Latency (ns/op),Avg Read Latency (ns/op),Avg Write Latency (ns/op)
1,223581.758295,4472.636800,4472.636800,0.000000
3,542167.701932,5533.343261,5533.343261,0.000000
6,1100088.174257,5454.108262,5454.108262,0.000000
9,1548504.482089,5812.059380,5812.059380,0.000000
12,1912281.384950,6275.227116,6275.227116,0.000000
18,2305493.788861,7807.438080,7807.438080,0.000000
24,2484466.181141,9660.022818,9660.022818,0.000000
35,2675520.476195,13081.566862,13081.566862,0.000000
48,2157168.288021,22251.393304,22251.393304,0.000000
60,2735964.525580,21930.108903,21930.108903,0.000000
