Thread Count,Throughput (ops/s),Avg Latency (ns/op),Avg Read Latency (ns/op),Avg Write Latency (ns/op)
1,1397915.506494,715.350817,677.403480,753.280975
3,3818576.396030,785.633097,712.642396,858.614317
6,8345229.991607,718.973594,642.566781,795.405502
9,12816890.102166,702.198422,624.226470,780.139824
12,16696171.872938,718.727628,638.615588,798.834886
18,25546924.916763,704.585779,623.753620,785.422248
24,33000118.714644,727.270111,644.418594,810.107285
35,47611795.844859,735.111948,649.133153,821.082308
48,65683889.521229,730.772802,641.277440,820.263320
60,81366902.845734,737.400563,644.744374,830.044241
