Thread Count,Throughput (ops/s),Avg Latency (ns/op),Avg Read Latency (ns/op),Avg Write Latency (ns/op)
1,1462984.950675,683.534031,676.201569,822.673863
3,5140302.086996,583.623287,568.799047,865.293632
6,10725046.296987,559.438144,544.189120,849.284594
9,16296453.680579,552.267394,536.601082,850.260319
12,22779869.065457,526.780903,511.186055,823.090942
18,32782168.551269,549.078990,533.017136,854.232293
24,43943992.761723,546.149735,530.028260,852.362914
35,65446085.421452,534.791344,518.647761,841.516271
48,89192114.810632,538.164165,521.815564,848.802058
60,109011057.610658,550.402879,533.764008,866.625486
