Thread Count,Throughput (ops/s),Avg Latency (ns/op),Avg Read Latency (ns/op),Avg Write Latency (ns/op)
1,1347600.526244,742.059669,742.059669,0.000000
3,5164904.279134,580.843291,580.843291,0.000000
6,11176603.133634,536.835739,536.835739,0.000000
9,17072043.638696,527.177659,527.177659,0.000000
12,23450049.490672,511.725999,511.725999,0.000000
18,35648984.335853,504.923221,504.923221,0.000000
24,48127547.920780,498.674897,498.674897,0.000000
35,70410528.149392,497.084753,497.084753,0.000000
48,95988648.556432,500.059129,500.059129,0.000000
60,120733173.979650,496.963660,496.963660,0.000000
