Thread Count,Throughput (ops/s),Avg Latency (ns/op),Avg Read Latency (ns/op),Avg Write Latency (ns/op)
1,1884824.761486,530.553302,518.305675,542.798371
3,4398232.941230,682.092113,608.930552,755.226540
6,8732208.192163,687.111423,608.393205,765.823713
9,13067268.792794,688.743772,606.631434,770.849109
12,17243980.697577,695.895003,609.899777,781.889847
18,25485951.618134,706.271450,616.472259,796.064964
24,33573854.844969,714.841954,620.127022,809.569603
35,47415169.458381,738.160390,634.761011,841.558580
48,63564595.869699,755.137342,648.552304,861.719749
60,78573649.868826,763.614775,653.332928,873.887137
