Thread Count,Throughput (ops/s),Avg Latency (ns/op),Avg Read Latency (ns/op),Avg Write Latency (ns/op)
1,1933795.196165,517.117843,513.982986,576.623158
3,5247002.561839,571.755010,557.519441,842.215516
6,10595863.638340,566.258703,551.549355,845.434892
9,15861329.383845,567.417761,552.208478,856.300382
12,21241500.520790,564.931841,549.773320,853.021274
18,31605693.475187,569.517641,553.956534,865.098470
24,41918540.880983,572.539012,556.722560,873.009315
35,60944546.666426,574.292565,558.192717,880.335058
48,81463784.681947,589.218880,572.056053,915.290303
60,102000818.106445,588.230576,571.336863,909.193969
