Thread Count,Throughput (ops/s),Avg Latency (ns/op),Avg Read Latency (ns/op),Avg Write Latency (ns/op)
1,1961261.647086,509.875876,509.875876,0.000000
3,5452223.909609,550.234189,550.234189,0.000000
6,11151765.600851,538.031395,538.031395,0.000000
9,16696606.859797,539.031677,539.031677,0.000000
12,22331312.063116,537.362067,537.362067,0.000000
18,33283471.989760,540.808964,540.808964,0.000000
24,44245384.283890,542.429462,542.429462,0.000000
35,64217191.850931,545.025389,545.025389,0.000000
48,87034631.901873,551.504602,551.504602,0.000000
60,106475560.310276,563.509596,563.509596,0.000000
