Thread Count,Throughput (ops/s),Avg Latency (ns/op),Avg Read Latency (ns/op),Avg Write Latency (ns/op)
1,1282278.532182,779.861766,317.078913,1241.791478
1,1181551.685578,846.344694,320.203473,1372.205031
3,4870753.613815,615.921116,291.762717,939.936480
6,8603620.626066,697.380819,303.777708,1090.905724
9,14838710.867506,606.521690,274.963310,938.129666
12,14794620.393841,811.105637,292.751495,1329.502956
18,11913516.030161,1510.888973,316.630154,2705.118766
24,13922180.023958,1723.867954,279.563716,3168.127835
35,13503875.012947,2591.848634,283.923946,4899.697758
48,13021737.947234,3686.143908,290.648879,7081.975159
60,13148341.235377,4563.313267,294.171640,8831.631915
