Thread Count,Throughput (ops/s),Avg Latency (ns/op),Avg Read Latency (ns/op),Avg Write Latency (ns/op)
1,3105951.142487,321.962566,241.952741,1843.485998
3,9848076.779484,304.628007,221.243444,1888.879877
6,25167434.531090,238.403322,196.107237,1041.864438
9,38717585.484691,232.452512,192.040170,1000.985570
12,47946835.038267,250.277208,198.669874,1230.235191
18,78062848.317267,230.583439,189.022090,1020.605086
24,101063460.162396,237.474553,190.071576,1138.369008
35,141101226.322809,248.048872,189.592743,1359.090225
48,176419080.260815,272.079414,189.730193,1836.846584
60,182954919.202656,327.949641,190.157224,2946.281995
