Thread Count,Throughput (ops/s),Avg Latency (ns/op),Avg Read Latency (ns/op),Avg Write Latency (ns/op)
1,4671090.380271,214.082777,214.082777,0.000000
3,16499446.464810,181.824282,181.824282,0.000000
6,34876045.859156,172.037852,172.037852,0.000000
9,53557368.695336,168.044103,168.044103,0.000000
12,72006851.203088,166.650809,166.650809,0.000000
18,110985441.069796,162.183434,162.183434,0.000000
24,148960595.279567,161.116435,161.116435,0.000000
35,219070735.271333,159.765749,159.765749,0.000000
48,301208891.846277,159.357845,159.357845,0.000000
60,371456524.994015,161.526305,161.526305,0.000000
